#{"t_start": 1606164716.281729, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,119.07834
-200.0,200,119.361071
-200.0,200,119.405318
-200.0,200,119.68668
-200.0,200,119.966049
-200.0,200,120.24748
-200.0,200,120.294595
-200.0,200,120.57154
-200.0,200,120.889715
-200.0,200,121.174035
-200.0,200,121.454071
-200.0,200,121.501003
-200.0,200,121.784722
-200.0,200,122.059734
-200.0,200,122.351693
-200.0,200,122.39457
-200.0,200,122.68064
-200.0,200,122.956333
-200.0,200,123.241223
-200.0,200,123.52133
-200.0,200,123.562983
-200.0,200,123.854078
-200.0,200,124.131363
-200.0,200,124.410857
-200.0,200,124.459721
-200.0,200,124.742072
-200.0,200,125.012714
-200.0,200,125.289813
-200.0,200,125.56087
-200.0,200,125.606383
-200.0,200,125.886713
-200.0,200,126.16468
-200.0,200,126.449059
-200.0,200,126.730626
-200.0,200,126.773057
-200.0,200,127.04636
-200.0,200,127.331171
-200.0,200,127.606365
-200.0,200,127.648303
-200.0,200,127.941141
-200.0,200,128.272742
-200.0,200,128.595326
-200.0,200,128.889646
-200.0,200,128.934026
-200.0,200,129.214225
-200.0,200,129.493675
-200.0,200,129.780468
-200.0,200,129.822795
-200.0,200,130.140465
-200.0,200,130.416828
-200.0,200,130.698577
-200.0,200,130.982018
-200.0,200,131.024175
-200.0,200,131.303802
-200.0,200,131.576432
-200.0,200,131.873173
-200.0,200,131.92888
-200.0,200,132.216042
-200.0,200,132.502399
-200.0,200,132.794177
-200.0,200,133.073752
-200.0,200,133.118907
-200.0,200,133.404533
-200.0,200,133.683851
-200.0,200,133.969297
-200.0,200,134.258473
-200.0,200,134.303664
-200.0,200,134.580325
-200.0,200,134.867487
-200.0,200,135.147642
-200.0,200,135.190993
-200.0,200,135.476889
-200.0,200,135.766277
-200.0,200,136.052086
-200.0,200,136.337441
-200.0,200,136.378712
-200.0,200,136.66293
-200.0,200,136.951878
-200.0,200,137.224839
-200.0,200,137.26943
-200.0,200,137.578201
-200.0,200,137.871195
-200.0,200,138.153714
-200.0,200,138.438932
-200.0,200,138.479464
-200.0,200,138.77234
-200.0,200,139.059005
-200.0,200,139.346822
-200.0,200,139.390356
-200.0,200,139.674248
-200.0,200,139.956464
-200.0,200,140.237467
-200.0,200,140.520083
-200.0,200,140.56237
-200.0,200,140.844939
-200.0,200,141.120196
-200.0,200,141.405018
-200.0,200,141.681081
-200.0,200,141.72774
-200.0,200,142.014579
-200.0,200,142.290485
-200.0,200,142.570054
-200.0,200,142.611621
-200.0,200,142.896134
-200.0,200,143.17291
-200.0,200,143.456525
-200.0,200,143.748106
-200.0,200,143.790547
-200.0,200,144.071301
-200.0,200,144.355745
-200.0,200,144.630491
-200.0,200,144.678242
-200.0,200,144.965134
-200.0,200,145.241939
-200.0,200,145.520966
-200.0,200,145.82422
-200.0,200,145.872839
-200.0,200,146.159009
-200.0,200,146.440502
-200.0,200,146.721476
-200.0,200,146.769692
-200.0,200,147.05647
-200.0,200,147.335897
-200.0,200,147.619197
-200.0,200,147.903727
-200.0,200,147.946933
-200.0,200,148.228327
-200.0,200,148.510842
-200.0,200,148.790683
-200.0,200,149.071652
-200.0,200,149.113923
-200.0,200,149.400094
-200.0,200,149.677715
-200.0,200,149.962847
-200.0,200,150.005975
-200.0,200,150.280755
-200.0,200,150.56472
-200.0,200,150.872532
-200.0,200,151.18719
-200.0,200,151.232113
-200.0,200,151.509023
-200.0,200,151.797263
-200.0,200,152.080349
-200.0,200,152.121588
-200.0,200,152.399559
-200.0,200,152.682177
-200.0,200,152.970024
-200.0,200,153.245643
-200.0,200,153.287708
-200.0,200,153.570319
-200.0,200,153.857104
-200.0,200,154.148638
-200.0,200,154.19163
-200.0,200,154.4712
-200.0,200,154.75316
-200.0,200,155.032301
-200.0,200,155.312753
-200.0,200,155.355725
-200.0,200,155.672421
-200.0,200,155.955586
-200.0,200,156.23878
-200.0,200,156.52672
-200.0,200,156.569185
-200.0,200,156.856192
-200.0,200,157.144839
-200.0,200,157.420279
-200.0,200,157.47053
-200.0,200,157.752125
-200.0,200,158.031008
-200.0,200,158.310237
-200.0,200,158.586406
-200.0,200,158.633981
-200.0,200,158.921715
-200.0,200,159.206269
-200.0,200,159.487249
-200.0,200,159.528147
-200.0,200,159.815703
-200.0,200,160.093857
-200.0,200,160.371449
-200.0,200,160.651581
-200.0,200,160.692915
-200.0,200,161.00103
-200.0,200,161.278154
-200.0,200,161.560848
-200.0,200,161.603045
-200.0,200,161.889501
-200.0,200,162.180882
-200.0,200,162.455485
-200.0,200,162.740822
-200.0,200,162.784157
-200.0,200,163.06018
-200.0,200,163.34122
-200.0,200,163.619201
-200.0,200,163.911814
-200.0,200,163.954326
-200.0,200,164.239244
-200.0,200,164.521375
-200.0,200,164.803779
-200.0,200,164.845209
-200.0,200,165.127235
-200.0,200,165.402832
-200.0,200,165.699103
-200.0,200,165.990422
-200.0,200,166.033664
-200.0,200,166.320058
-200.0,200,166.605195
-200.0,200,166.890475
-200.0,200,166.939695
-200.0,200,167.220194
-200.0,200,167.497859
-200.0,200,167.838259
-200.0,200,168.134117
-200.0,200,168.176774
-200.0,200,168.454913
-200.0,200,168.74078
-200.0,200,169.024656
-200.0,200,169.075232
-200.0,200,169.350978
-200.0,200,169.640594
-200.0,200,169.924798
-200.0,200,170.204854
-200.0,200,170.250048
-200.0,200,170.522606
-200.0,200,170.805233
-200.0,200,171.086502
-200.0,200,171.361059
