#{"t_start": 1606393646.0302458, "env_id": "LunarLanderContinuous-v2"}
r,l,t
-145.97,264,163.655631
-214.622921,452,164.532361
-178.69312,313,180.529611
-236.928017,792,183.237179
-220.034995,489,184.430831
-209.17327,419,185.483676
-126.683333,1000,206.50767
-195.22526,1000,211.643529
-177.202581,1000,231.227644
-172.810783,1000,233.718288
-129.86705,1000,252.632159
-176.170597,935,255.324957
-130.088487,575,271.531695
-87.237007,1000,274.682582
-133.665153,1000,279.498708
-89.749735,1000,297.910627
-106.279146,1000,301.259776
-149.00486,1000,319.126416
-82.492257,1000,322.847616
-153.712803,1000,343.143597
-152.733754,1000,346.149725
-145.899274,1000,364.59114
-138.968437,1000,366.810386
-117.57218,1000,385.322408
-118.09695,1000,390.147641
-147.961028,1000,410.375854
-133.643388,1000,413.848309
-130.164952,1000,436.170822
-176.891314,91,436.297319
-101.936919,1000,441.832953
-162.891789,1000,460.61346
-371.968903,69,460.689291
-367.64909,93,460.789523
-374.07327,87,460.87302
-160.340096,1000,464.396648
-150.845212,1000,482.962463
-156.071072,1000,485.986949
-176.126179,1000,504.00629
-118.024594,425,505.221999
-184.822878,1000,527.043147
-130.533941,1000,529.812043
-166.088475,1000,550.776361
-148.288597,1000,554.169029
-170.992872,1000,574.360156
-158.336958,129,574.517882
-131.818487,1000,578.329237
-111.834077,1000,596.116986
-125.780459,149,596.287988
-162.41604,1000,599.512308
-155.022785,170,599.719684
-234.073813,758,617.057606
-155.627961,1000,620.139912
-72.218008,1000,636.764258
-58.500924,1000,638.815472
-138.753002,1000,656.856529
-171.265439,1000,660.992487
-112.275806,1000,682.816431
-239.282671,871,685.114888
-120.59083,1000,689.28361
-166.553823,1000,710.901059
-223.382544,835,713.531096
-218.054428,761,732.953387
-179.509706,1000,735.530818
-121.199646,1000,756.250239
-151.209188,1000,758.738732
-182.451513,1000,778.494853
-160.933003,1000,781.23276
-130.679378,1000,798.312094
-183.304396,1000,803.310203
-148.998801,1000,821.536116
-121.167983,1000,826.072209
-161.442487,1000,844.895756
-215.658025,707,846.448081
-104.295605,1000,850.561744
-176.55128,1000,868.029214
-205.337541,1000,870.621864
-151.311559,1000,891.091567
-199.813004,545,892.046882
-179.006001,1000,911.073129
-156.961414,1000,914.56838
-153.816768,1000,934.203265
-181.112144,1000,936.808032
-62.929701,307,937.349696
-181.585747,1000,956.372989
-131.534896,1000,958.891011
-163.920652,1000,976.271665
-216.408839,750,978.345516
-103.687904,361,978.980481
-183.339804,1000,998.630717
-161.841963,1000,1003.165614
-169.078655,1000,1022.665878
-251.668277,878,1024.764478
-148.099742,1000,1044.082258
-108.907839,1000,1046.998711
-238.545671,799,1064.473364
-132.056696,1000,1069.29488
-148.591275,1000,1086.868625
-198.651896,690,1088.148196
-156.548508,1000,1092.871647
-92.247219,1000,1108.752928
-135.623647,1000,1111.83901
-143.198652,1000,1128.932997
-137.622629,1000,1132.258653
-137.909674,1000,1149.479595
-150.289161,1000,1154.011499
-172.394475,1000,1168.623833
-191.930708,745,1170.450301
-156.395502,1000,1186.857614
-126.292893,1000,1189.447901
-151.5464,1000,1205.309761
-164.631746,1000,1208.102175
-142.570591,1000,1224.539416
-136.67639,1000,1227.763276
-94.990562,1000,1245.502549
-120.723429,1000,1249.473574
-148.332769,1000,1265.851699
-139.968966,1000,1270.534373
-137.590401,1000,1287.889071
-178.889041,1000,1290.560282
-186.963549,1000,1309.944282
-93.941264,272,1310.401468
-122.98683,363,1310.98246
-147.225587,1000,1313.816814
-152.655785,1000,1332.652666
-132.813379,1000,1337.476601
-118.827305,1000,1354.784623
-145.640448,1000,1357.496855
-127.629179,1000,1374.3079
-162.145315,507,1375.220577
-207.564987,492,1375.997538
-164.096911,1000,1390.191548
-162.321606,589,1391.220715
-140.883956,1000,1394.43192
-234.826059,912,1410.303755
-131.653433,1000,1413.665931
-147.367719,1000,1430.977796
-98.341645,435,1431.760799
-170.979925,1000,1449.098522
-167.528738,1000,1451.788384
-141.588817,1000,1470.107764
-154.96297,1000,1473.321171
-213.869196,715,1475.089743
-221.759944,896,1491.681678
-178.120329,1000,1493.741706
-99.793623,1000,1510.866865
-190.73499,539,1512.001285
-124.488953,1000,1527.744159
-162.476819,1000,1531.474598
-226.955776,709,1533.81597
-177.058335,1000,1550.052681
-156.14075,1000,1554.247484
-178.313204,1000,1572.703378
-132.146579,1000,1577.682599
-126.718762,1000,1597.212911
-100.053996,1000,1601.131013
-124.070066,1000,1616.844937
-95.972091,1000,1620.769854
-84.210532,228,1621.052978
-115.095112,385,1634.256669
-146.237677,1000,1637.828127
-115.769175,1000,1653.351785
-121.808993,325,1653.769376
-116.017709,1000,1658.247252
-97.075705,1000,1676.087886
-106.268887,1000,1680.021848
-135.478621,1000,1697.118351
-99.875342,318,1697.644958
-234.74755,831,1701.422908
-127.76025,1000,1717.276671
-212.199516,579,1718.277885
-56.170887,259,1718.608443
-86.083128,1000,1733.234214
-149.380722,1000,1734.886196
-159.561458,1000,1747.886168
-116.578644,1000,1751.007038
-126.449033,1000,1765.627306
-147.357861,1000,1768.575297
-146.167256,395,1769.111495
-185.053263,621,1782.746916
-8.176482,1000,1785.125086
-154.755633,839,1799.637953
-247.809621,948,1803.366212
-138.035887,1000,1805.773943
-160.889861,172,1818.09239
-94.817379,1000,1820.328303
-112.765952,1000,1836.27831
-71.9056,1000,1840.340632
-142.63801,1000,1843.825614
-216.715126,949,1860.980249
-202.108822,707,1863.250003
-138.404711,1000,1881.720186
-84.692932,1000,1887.73567
-118.51266,1000,1906.819146
-151.327664,573,1908.038674
-118.062155,1000,1923.934395
-207.389092,976,1925.900965
-119.151249,1000,1941.446865
-147.512161,1000,1945.241687
-121.188797,1000,1948.736015
-41.03933,1000,1963.977525
-66.138213,1000,1967.255508
-146.001223,1000,1986.586918
-105.622941,1000,1991.704599
-85.380195,1000,2012.581176
-52.717659,1000,2016.693761
-137.159864,1000,2036.424094
-154.382202,1000,2042.117188
-125.054533,498,2059.876326
-75.12593,1000,2064.524926
-107.966878,1000,2083.605091
-79.531152,1000,2088.096511
-157.923327,767,2089.822028
-84.712657,409,2105.950832
-64.143374,209,2106.234239
-101.725626,1000,2108.578385
-66.397342,1000,2127.365894
7.1833,1000,2132.929339
-116.876548,1000,2150.934423
-119.184129,1000,2154.538351
-103.868635,1000,2173.454184
-82.465058,1000,2175.994126
-105.406574,502,2176.854644
-40.085669,1000,2197.239268
-79.827433,1000,2202.474544
-77.037536,1000,2221.356629
-32.656071,1000,2226.083349
-103.83493,1000,2250.062929
-114.866486,1000,2254.523733
-246.46371,973,2278.996052
-100.758639,1000,2285.779914
-75.273655,1000,2306.274502
-93.177238,1000,2309.846877
-61.373366,1000,2330.11026
-139.090397,1000,2334.221872
-112.974054,1000,2351.554602
-77.651926,1000,2354.425594
-164.404804,408,2355.228023
-102.191075,1000,2375.606013
-106.276304,1000,2378.612008
-101.517823,1000,2397.730699
-118.657269,1000,2400.86123
-100.82778,1000,2420.136655
-69.627018,1000,2422.446093
-93.475272,1000,2440.813047
-144.323483,167,2441.012516
-111.336997,1000,2446.443801
-85.465441,196,2463.349556
-221.7581,236,2463.801276
-257.357231,149,2464.005535
-118.585738,1000,2469.066397
-102.937545,1000,2491.919603
-107.485837,1000,2498.099879
-30.182391,1000,2515.271614
-113.156373,1000,2517.847453
-80.944295,1000,2537.941022
-178.848319,155,2538.145426
-97.65064,1000,2542.995366
-51.419047,283,2543.413843
-181.651183,148,2543.580485
-84.562742,1000,2567.299903
-79.838032,496,2568.680818
-89.466854,1000,2588.666294
-121.377182,1000,2592.775518
-199.958936,160,2592.960588
-112.724574,1000,2612.450996
-179.949565,137,2612.606204
-123.722553,1000,2615.826839
-190.307459,216,2616.108329
-204.674885,797,2632.965362
-117.812848,1000,2637.839357
-61.508765,278,2638.313527
-188.016403,172,2638.540849
-124.45397,1000,2662.455029
-129.497216,1000,2668.334513
-82.074366,275,2683.798331
-127.458834,464,2684.640162
-95.334024,407,2685.453498
-49.306202,1000,2690.710498
-185.223681,216,2704.985715
-124.053203,1000,2709.024871
-104.440619,398,2709.724305
-134.556527,1000,2727.095928
-169.573356,162,2727.27874
-181.14863,169,2727.47685
-111.239917,320,2728.08235
-210.262703,200,2728.344673
-102.390837,1000,2746.635529
-86.022748,1000,2750.83998
-60.562465,1000,2768.016668
-89.6043,1000,2772.801421
-91.097548,1000,2790.944135
-77.637002,1000,2795.596952
-80.741201,1000,2813.286585
-201.114144,167,2813.49776
-91.937058,264,2813.943609
-61.838571,207,2814.24347
-82.236619,1000,2817.627824
-73.238824,1000,2833.886831
-203.784587,259,2834.282334
-171.195208,177,2834.502897
-105.008613,1000,2855.484571
-210.000762,171,2855.74426
-118.159199,1000,2859.750699
-90.52216,227,2860.080448
-213.015253,236,2860.451761
-98.040066,313,2876.476986
-100.517472,1000,2882.041918
-144.321671,1000,2903.749088
-88.725178,1000,2908.866321
-60.949211,1000,2911.053667
-225.703733,321,2927.933111
-81.714016,1000,2934.469562
-90.327938,1000,2958.202769
-98.062483,1000,2962.142479
-84.395162,236,2962.590758
-72.769473,1000,2984.510578
-99.101908,1000,2989.946095
-81.980089,1000,3009.600334
-170.930454,165,3009.82171
-78.076796,166,3010.034492
-68.989544,1000,3012.672222
-75.867877,1000,3033.957863
